law_id,title,year,url,pdf_path
8657,"Ustavni zakon za sprovodjenje Ustava Crne Gore","2021","https://wapi.gov.me/download/0abf31a1-9a94-48c5-b7d7-d26bb17a2c7f?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Ustavni zakon za sprovodjenje Ustava Crne Gore-2021.pdf"
8663,"Zakon o upravnom postupku","2021","https://wapi.gov.me/download/a1a122ef-013c-4b53-9ffc-0718d16b4d99?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o upravnom postupku-2021.pdf"
8664,"Zakon o zastiti od nasilja u porodici","2021","https://wapi.gov.me/download/00f2fc23-df5f-4630-96a7-7c6b9807b505?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastiti od nasilja u porodici-2021.pdf"
8665,"Zakon o socijalnoj i djecjoj zastiti","2021","https://wapi.gov.me/download/4652be9d-16e9-4048-881d-4ca6fa42abf2?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o socijalnoj i djecjoj zastiti-2021.pdf"
8666,"Zakon o radu","2021","https://wapi.gov.me/download/d90fa5c1-a763-4528-9cfe-5805c63c5a37?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu-2021.pdf"
8667,"Zakon o zastitniku ci ljudskih prava i sloboda Crne Gore","2021","https://wapi.gov.me/download/a0525c0e-0b1c-40ff-8181-dbae7e19dedc?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastitniku ci ljudskih prava i sloboda Crne Gore-2021.pdf"
8668,"Zakon o povlastici na putovanje lica sa invaliditetom","2021","https://wapi.gov.me/download/71fecb62-f38a-43f3-b759-fec476fe4ec0?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o povlastici na putovanje lica sa invaliditetom-2021.pdf"
8669,"Zakon o postupanju prema maloljetnicima u krivicnom postupku","2021","https://wapi.gov.me/download/8b07f958-656c-4c8a-8029-7d994d77b4a1?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o postupanju prema maloljetnicima u krivicnom postupku-2021.pdf"
8684,"Zakon o radu","2021","https://wapi.gov.me/download/d90fa5c1-a763-4528-9cfe-5805c63c5a37?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu-2021.pdf"
8710,"Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine","2021","https://wapi.gov.me/download/2757623d-536c-49dd-b5e4-62e154f5d315?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine-2021.pdf"
8799,"Zakon o upravnom postupku","2021","https://wapi.gov.me/download/a1a122ef-013c-4b53-9ffc-0718d16b4d99?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o upravnom postupku-2021.pdf"
8838,"Zakon o radu","2021","https://wapi.gov.me/download/d90fa5c1-a763-4528-9cfe-5805c63c5a37?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu-2021.pdf"
8866,"Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine","2021","https://wapi.gov.me/download/6a29403c-2397-4107-a591-7aac91c38ecf?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine-2021.pdf"
8876,"Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18","2020","https://wapi.gov.me/download/b91275d4-db3c-47a1-ab10-8593a2ec3117?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18-2020.pdf"
8881,"Zakon o turizmu i ugostiteljstvu","2020","https://wapi.gov.me/download/b07f6ca2-39e9-4956-89e7-e75deb6a85cb?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o turizmu i ugostiteljstvu-2020.pdf"
8882,"Zakon o porezu na dodatu vrijednost iz 2020.godine","2020","https://wapi.gov.me/download/ffa76fb1-b995-4283-8b6b-d5848a7cfc36?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dodatu vrijednost iz 2020.godine-2020.pdf"
